SCH_YEAR,CNTYNO,CNTYNAME,DIST_NUMBER,DIST_NAME,SCH_NUMBER,SCH_NAME,SCH_CD,STATE_SCH_ID,NCESID,CATEGORY,TARGET_LABEL,CCR_2015,CCR_2016,CCR_2017,CCR_2018,CCR_2019,CCR_2020,TARGET_LABEL_SORT,COOP,COOP_CODE
20152016,016,BUTLER,075,Butler County,,---District Total---,075,,,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,017,CALDWELL,081,Caldwell County,010,Caldwell County High School,081010,017081010,210084000166,Delivery Target,Delivery Target,,80.9,83.0,,,,1,WKEC,908
20152016,017,CALDWELL,081,Caldwell County,010,Caldwell County High School,081010,017081010,210084000166,Delivery Target,Actual Score,78.8,77.4,,,,,2,WKEC,908
20152016,017,CALDWELL,081,Caldwell County,010,Caldwell County High School,081010,017081010,210084000166,Delivery Target,Met Target,,No,,,,,3,WKEC,908
20152016,017,CALDWELL,081,Caldwell County,,---District Total---,081,,,Delivery Target,Delivery Target,,80.9,83.0,,,,1,WKEC,908
20152016,017,CALDWELL,081,Caldwell County,,---District Total---,081,,,Delivery Target,Actual Score,78.8,77.4,,,,,2,WKEC,908
20152016,017,CALDWELL,081,Caldwell County,,---District Total---,081,,,Delivery Target,Met Target,,No,,,,,3,WKEC,908
20152016,018,CALLOWAY,085,Calloway County,020,Calloway County High School,085020,018085020,210087000171,Delivery Target,Delivery Target,,84.2,85.9,,,,1,WKEC,908
20152016,018,CALLOWAY,085,Calloway County,020,Calloway County High School,085020,018085020,210087000171,Delivery Target,Actual Score,82.4,73.4,,,,,2,WKEC,908
20152016,018,CALLOWAY,085,Calloway County,020,Calloway County High School,085020,018085020,210087000171,Delivery Target,Met Target,,No,,,,,3,WKEC,908
20152016,018,CALLOWAY,085,Calloway County,,---District Total---,085,,,Delivery Target,Delivery Target,,83.4,85.3,,,,1,WKEC,908
20152016,018,CALLOWAY,085,Calloway County,,---District Total---,085,,,Delivery Target,Actual Score,81.6,72.4,,,,,2,WKEC,908
20152016,018,CALLOWAY,085,Calloway County,,---District Total---,085,,,Delivery Target,Met Target,,No,,,,,3,WKEC,908
20152016,019,CAMPBELL,091,Campbell County,100,Campbell County High School,091100,019091100,210090000941,Delivery Target,Delivery Target,,73.6,76.6,,,,1,NKCES,905
20152016,019,CAMPBELL,091,Campbell County,100,Campbell County High School,091100,019091100,210090000941,Delivery Target,Actual Score,70.7,72.2,,,,,2,NKCES,905
20152016,019,CAMPBELL,091,Campbell County,100,Campbell County High School,091100,019091100,210090000941,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,019,CAMPBELL,091,Campbell County,,---District Total---,091,,,Delivery Target,Delivery Target,,73.5,76.4,,,,1,NKCES,905
20152016,019,CAMPBELL,091,Campbell County,,---District Total---,091,,,Delivery Target,Actual Score,70.5,71.8,,,,,2,NKCES,905
20152016,019,CAMPBELL,091,Campbell County,,---District Total---,091,,,Delivery Target,Met Target,,No,,,,,3,NKCES,905
20152016,109,TAYLOR,092,Campbellsville Independent,020,Campbellsville High School,092020,109092020,210093000183,Delivery Target,Delivery Target,,70.5,73.8,,,,1,GRREC,902
20152016,109,TAYLOR,092,Campbellsville Independent,020,Campbellsville High School,092020,109092020,210093000183,Delivery Target,Actual Score,67.2,79.7,,,,,2,GRREC,902
20152016,109,TAYLOR,092,Campbellsville Independent,020,Campbellsville High School,092020,109092020,210093000183,Delivery Target,Met Target,,Yes,,,,,3,GRREC,902
20152016,109,TAYLOR,092,Campbellsville Independent,,---District Total---,092,,,Delivery Target,Delivery Target,,70.5,73.8,,,,1,GRREC,902
20152016,109,TAYLOR,092,Campbellsville Independent,,---District Total---,092,,,Delivery Target,Actual Score,67.2,79.7,,,,,2,GRREC,902
